"ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","STATUS","QTR_ID","MONTH_ID","YEAR_ID","PRODUCTLINE"
10417,45,100,5,5887.35,"11/29/2021 16:00","Disputed",2,5,2005,"Motorcycles"
10107,27,100,4,6065.55,"11/29/2021 15:00","Shipped",1,2,2003,"Motorcycles"
10120,46,100,2,9264.86,"11/29/2021 14:00","Shipped",2,4,2003,"Motorcycles"
10134,31,100,4,7023.98,"11/29/2021 13:00","Shipped",3,7,2003,"Motorcycles"
10145,33,100,8,5176.38,"11/29/2021 12:00","Shipped",3,8,2003,"Motorcycles"
10159,23,100,16,4132.7,"11/29/2021 11:00","Shipped",4,10,2003,"Motorcycles"
10168,20,100,3,4193,"11/29/2021 10:00 ","Shipped",4,10,2003,"Motorcycles"
10190,41,100,11,8892.9,"11/29/2021 09:00 ","Shipped",4,11,2003,"Motorcycles"
10198,45,100,3,8714.7,"11/29/2021 08:00 ","Shipped",4,11,2003,"Motorcycles"
10201,49,100,4,8065.89,"11/29/2021 07:00","Shipped",4,12,2003,"Motorcycles"
10210,34,100,1,6123.4,"11/29/2021 06:00 ","Shipped",1,1,2004,"Motorcycles"
10233,49,100,3,9774.03,"11/29/2021 05:00 ","Shipped",1,2,2004,"Motorcycles"
10237,39,100,9,7023.9,"11/29/2021 04:00 ","Shipped",2,4,2004,"Motorcycles"
10251,43,100,4,7078.23,"11/29/2021 03:00 ","Shipped",2,5,2004,"Motorcycles"
10263,41,100,4,8336.94,"11/29/2021 02:00 ","Shipped",2,6,2004,"Motorcycles"
10275,36,100,3,6901.92,"11/29/2021 01:00 ","Shipped",3,7,2004,"Motorcycles"
10285,27,100,8,5438.07,"11/29/2021 00:00 ","Shipped",3,8,2004,"Motorcycles"
10299,29,100,11,6683.34,"11/29/2021 23:00","Shipped",3,9,2004,"Motorcycles"
10308,20,100,1,4570.4,"11/29/2021 22:00","Shipped",4,10,2004,"Motorcycles"
10319,37,100,3,7667.14,"11/29/2021 21:00","Shipped",4,11,2004,"Motorcycles"
10329,26,100,3,5868.2,"11/29/2021 20:00","Shipped",4,11,2004,"Motorcycles"
10339,39,76.67,3,2990.13,"11/29/2021 19:00","Shipped",4,11,2004,"Motorcycles"
10362,23,100,4,3664.1,"11/29/2021 18:00","Shipped",1,1,2005,"Motorcycles"
10374,23,100,1,3834.38,"11/29/2021 17:00","Shipped",1,2,2005,"Motorcycles"
10388,21,86.77,7,1923.17,"11/29/2021 16:00","Shipped",1,3,2005,"Motorcycles"
10403,66,100,9,11986.6,"11/29/2021 15:00","Shipped",2,4,2005,"Motorcycles"
10417,56,100,4,9218.16,"11/29/2021 14:00","Disputed",2,5,2005,"Motorcycles"
10105,50,100,2,7209,"11/29/2021 13:00","Shipped",1,2,2003,"Classic Cars"
10120,46,100,11,5004.8,"11/29/2021 12:00","Shipped",2,4,2003,"Classic Cars"
10129,33,100,2,4398.24,"11/29/2021 11:00","Shipped",2,6,2003,"Classic Cars"
10143,49,100,15,5597.76,"11/29/2021 10:00 ","Shipped",3,8,2003,"Classic Cars"
10155,32,100,13,4526.08,"11/29/2021 09:00 ","Shipped",4,10,2003,"Classic Cars"
10167,44,100,9,5924.16,"11/29/2021 08:00 ","Cancelled",4,10,2003,"Classic Cars"
10178,24,100,12,3492.48,"11/29/2021 07:00","Shipped",4,11,2003,"Classic Cars"
10196,26,100,9,3854.24,"11/29/2021 06:00 ","Shipped",4,11,2003,"Classic Cars"
10207,45,100,6,5324.4,"11/29/2021 05:00 ","Shipped",4,11,2003,"Classic Cars"
10210,39,100,8,5207.92,"11/29/2021 04:00 ","Shipped",1,1,2004,"Classic Cars"
10232,49,100,12,5997.6,"11/29/2021 03:00 ","Shipped",1,2,2004,"Classic Cars"
10248,20,100,3,2910.4,"11/29/2021 02:00 ","Cancelled",2,5,2004,"Classic Cars"
10261,27,100,1,3378.24,"11/29/2021 01:00 ","Shipped",2,6,2004,"Classic Cars"
10273,30,100,4,3508.8,"11/29/2021 00:00 ","Shipped",3,7,2004,"Classic Cars"
10283,25,100,6,2992,"11/29/2021 23:00","Shipped",3,8,2004,"Classic Cars"
10295,24,100,1,3427.2,"11/29/2021 22:00","Shipped",3,9,2004,"Classic Cars"
10307,23,100,9,2692.8,"11/29/2021 21:00","Shipped",4,10,2004,"Classic Cars"
10316,33,100,17,4128.96,"11/29/2021 20:00","Shipped",4,11,2004,"Classic Cars"
10325,47,64.93,6,3051.71,"11/29/2021 19:00","Shipped",4,11,2004,"Classic Cars"
10337,25,48.05,8,1201.25,"11/29/2021 18:00","Shipped",4,11,2004,"Classic Cars"
10350,26,75.47,5,2062.23,"11/29/2021 17:00","Shipped",4,12,2004,"Classic Cars"
10359,48,54.68,6,2624.64,"11/29/2021 16:00","Shipped",4,12,2004,"Classic Cars"
10373,39,100,3,4046.25,"11/29/2021 15:00","Shipped",1,1,2005,"Classic Cars"
10384,34,100,4,4846.7,"11/29/2021 14:00","Shipped",1,2,2005,"Classic Cars"
10395,32,100,2,3370.56,"11/29/2021 13:00","Shipped",1,3,2005,"Classic Cars"
10400,64,100,9,9661.44,"11/29/2021 12:00","Shipped",2,4,2005,"Classic Cars"
10414,20,100,3,2764.88,"11/29/2021 11:00","On Hold",2,5,2005,"Classic Cars"
10103,42,100,4,5398.26,"11/29/2021 10:00 ","Shipped",1,1,2003,"Classic Cars"
10114,31,100,8,4305.28,"11/29/2021 09:00 ","Shipped",2,4,2003,"Classic Cars"
10126,23,100,4,3347.74,"11/29/2021 08:00 ","Shipped",2,5,2003,"Classic Cars"
10140,26,100,4,3198.12,"11/29/2021 07:00","Shipped",3,7,2003,"Classic Cars"
10150,20,100,1,3201.2,"11/29/2021 06:00 ","Shipped",3,9,2003,"Classic Cars"
10164,21,100,2,3536.82,"11/29/2021 05:00 ","Resolved",4,10,2003,"Classic Cars"
10175,33,100,9,5362.83,"11/29/2021 04:00 ","Shipped",4,11,2003,"Classic Cars"
10193,28,100,1,3433.36,"11/29/2021 03:00 ","Shipped",4,11,2003,"Classic Cars"
10204,26,100,4,4263.74,"11/29/2021 02:00 ","Shipped",4,11,2003,"Classic Cars"
10207,31,100,15,4076.2,"11/29/2021 01:00 ","Shipped",4,12,2003,"Classic Cars"
10217,48,100,4,7020.48,"11/29/2021 00:00 ","Shipped",1,2,2004,"Classic Cars"
10239,50,100,9,6426.5,"11/29/2021 23:00","Shipped",1,3,2004,"Classic Cars"
10245,28,100,2,4591.72,"11/29/2021 22:00","Shipped",2,5,2004,"Classic Cars"
10259,26,100,12,4033.38,"11/29/2021 21:00","Shipped",2,6,2004,"Classic Cars"
10270,32,100,2,4302.08,"11/29/2021 20:00","Shipped",3,7,2004,"Classic Cars"
10281,44,100,9,7020.64,"11/29/2021 19:00","Shipped",3,8,2004,"Classic Cars"
10291,30,100,4,3855.9,"11/29/2021 18:00","Shipped",3,9,2004,"Classic Cars"
10305,38,100,13,6680.78,"11/29/2021 17:00","Shipped",4,10,2004,"Classic Cars"
10313,40,100,7,6678,"11/29/2021 16:00","Shipped",4,10,2004,"Classic Cars"
10323,46,61.99,8,2851.54,"11/29/2021 15:00","Shipped",4,11,2004,"Classic Cars"
10334,26,100,2,3198.12,"11/29/2021 14:00","On Hold",4,11,2004,"Classic Cars"
10347,27,100,2,4428,"11/29/2021 13:00","Shipped",4,11,2004,"Classic Cars"
10357,43,100,9,5780.92,"11/29/2021 12:00","Shipped",4,12,2004,"Classic Cars"
10370,35,65.63,4,2397.05,"11/29/2021 11:00","Shipped",1,1,2005,"Classic Cars"
10381,37,100,6,6231.54,"11/29/2021 10:00 ","Shipped",1,2,2005,"Classic Cars"
10391,37,46.9,7,1735.3,"11/29/2021 09:00 ","Shipped",1,3,2005,"Classic Cars"
10411,27,100,2,4427.73,"11/29/2021 08:00 ","Shipped",2,5,2005,"Classic Cars"
10425,38,100,12,5894.94,"11/29/2021 07:00","In Process",2,5,2005,"Classic Cars"
10108,33,100,6,5265.15,"11/29/2021 06:00 ","Shipped",1,3,2003,"Classic Cars"
10123,42,100,10,7599.9,"11/29/2021 05:00 ","Shipped",2,5,2003,"Classic Cars"
10135,42,100,7,8008.56,"11/29/2021 04:00 ","Shipped",3,7,2003,"Classic Cars"
10147,48,100,7,9245.76,"11/29/2021 03:00 ","Shipped",3,9,2003,"Classic Cars"
10159,41,100,2,8296.35,"11/29/2021 02:00 ","Shipped",4,10,2003,"Classic Cars"
10169,30,100,2,5020.9,"11/29/2021 01:00 ","Shipped",4,11,2003,"Classic Cars"
10191,27,100,14,5411.07,"11/29/2021 00:00 ","Shipped",4,11,2003,"Classic Cars"
10201,21,100,3,3840.9,"11/29/2021 23:00","Shipped",4,11,2003,"Classic Cars"
10203,20,100,8,3930.4,"11/29/2021 22:00","Shipped",4,12,2003,"Classic Cars"
10210,41,100,2,7498.9,"11/29/2021 21:00","Shipped",1,1,2004,"Classic Cars"
10235,27,100,9,4517.91,"11/29/2021 20:00","Shipped",1,2,2004,"Classic Cars"
10238,28,100,3,5774.72,"11/29/2021 19:00","Shipped",2,4,2004,"Classic Cars"
10253,24,100,13,3923.56,"11/29/2021 18:00","Cancelled",2,6,2004,"Classic Cars"
10266,44,100,14,9160.36,"11/29/2021 17:00","Shipped",3,7,2004,"Classic Cars"
10276,50,100,3,9631,"11/29/2021 16:00","Shipped",3,8,2004,"Classic Cars"
10287,21,100,12,3432.24,"11/29/2021 15:00","Shipped",3,8,2004,"Classic Cars"
10300,33,100,5,5521.89,"11/29/2021 14:00","Shipped",4,10,2003,"Classic Cars"
10310,33,100,10,6934.62,"11/29/2021 13:00","Shipped",4,10,2004,"Classic Cars"
10320,31,100,3,6876.11,"11/29/2021 12:00","Shipped",4,11,2004,"Classic Cars"
10329,41,71.47,5,2930.27,"11/29/2021 11:00","Shipped",4,11,2004,"Classic Cars"
10341,45,79.65,2,3584.25,"11/29/2021 10:00 ","Shipped",4,11,2004,"Classic Cars"
10363,33,85.39,3,2817.87,"11/29/2021 09:00 ","Shipped",1,1,2005,"Classic Cars"
10375,45,76,7,3420,"11/29/2021 08:00 ","Shipped",1,2,2005,"Classic Cars"
10389,26,99.04,4,2575.04,"11/29/2021 07:00","Shipped",1,3,2005,"Classic Cars"
10420,12,100,13,2061.28,"11/29/2021 06:00 ","Shipped",2,5,2005,"Classic Cars"
10105,41,100,15,8690.36,"11/29/2021 05:00 ","Shipped",1,2,2003,"Classic Cars"
10117,33,100,9,6034.38,"11/29/2021 04:00 ","Shipped",2,4,2003,"Classic Cars"
10127,46,100,2,11279.2,"11/29/2021 03:00 ","Shipped",2,6,2003,"Classic Cars"
10142,33,100,12,8023.29,"11/29/2021 02:00 ","Shipped",3,8,2003,"Classic Cars"
10153,20,100,11,4904,"11/29/2021 01:00 ","Shipped",3,9,2003,"Classic Cars"
10165,44,100,3,8594.52,"11/29/2021 00:00 ","Shipped",4,10,2003,"Classic Cars"
10176,33,100,2,7474.5,"11/29/2021 23:00","Shipped",4,11,2003,"Classic Cars"
10195,21,100,13,3883.74,"11/29/2021 22:00","Shipped",4,11,2003,"Classic Cars"
10206,47,100,5,8887.7,"11/29/2021 21:00","Shipped",4,11,2003,"Classic Cars"
10209,46,100,13,8602.92,"11/29/2021 20:00","Shipped",1,1,2004,"Classic Cars"
10230,32,100,2,7191.44,"11/29/2021 19:00","Shipped",1,2,2004,"Classic Cars"
10231,42,100,2,8378.58,"11/29/2021 18:00","Shipped",1,3,2004,"Classic Cars"
10247,44,100,2,10606.2,"11/29/2021 17:00","Shipped",2,5,2004,"Classic Cars"
10272,35,100,2,5819.4,"11/29/2021 16:00","Shipped",3,7,2004,"Classic Cars"
10282,41,100,5,7071.27,"11/29/2021 15:00","Shipped",3,8,2004,"Classic Cars"
10293,46,100,8,8411.56,"11/29/2021 14:00","Shipped",3,9,2004,"Classic Cars"
10306,31,100,13,6570.76,"11/29/2021 13:00","Shipped",4,10,2004,"Classic Cars"
10314,38,100,5,7975.44,"11/29/2021 12:00","Shipped",4,10,2004,"Classic Cars"
10325,42,64,8,2688,"11/29/2021 11:00","Shipped",4,11,2004,"Classic Cars"
10336,33,57.23,10,1988.26,"11/29/2021 10:00 ","Shipped",4,11,2004,"Classic Cars"
10348,48,52.36,8,2513.28,"11/29/2021 09:00 ","Shipped",4,11,2004,"Classic Cars"
10359,42,100,8,4764.48,"11/29/2021 08:00 ","Shipped",4,12,2004,"Classic Cars"
10371,32,100,6,3560.64,"11/29/2021 07:00","Shipped",1,1,2005,"Classic Cars"
10382,34,100,10,3823.64,"11/29/2021 06:00 ","Shipped",1,2,2005,"Classic Cars"
10395,33,69.12,1,2380.96,"11/29/2021 05:00 ","Shipped",1,3,2005,"Classic Cars"
10413,36,100,2,8677.8,"11/29/2021 04:00 ","Shipped",2,5,2005,"Classic Cars"
10103,27,100,8,3394.98,"11/29/2021 03:00 ","Shipped",1,1,2003,"Trucks and Buses"
10113,21,100,2,3415.44,"11/29/2021 02:00 ","Shipped",1,3,2003,"Trucks and Buses"
10126,21,100,8,2439.57,"11/29/2021 01:00 ","Shipped",2,5,2003,"Trucks and Buses"
10140,38,100,8,4829.8,"11/29/2021 00:00 ","Shipped",3,7,2003,"Trucks and Buses"
10150,30,100,5,4100.1,"11/29/2021 23:00","Shipped",3,9,2003,"Trucks and Buses"
10164,49,100,6,6563.06,"11/29/2021 22:00","Resolved",4,10,2003,"Trucks and Buses"
10174,43,100,1,6817.23,"11/29/2021 21:00","Shipped",4,11,2003,"Trucks and Buses"
10193,41,100,5,6163.94,"11/29/2021 20:00","Shipped",4,11,2003,"Trucks and Buses"
10204,38,100,8,4933.92,"11/29/2021 19:00","Shipped",4,11,2003,"Trucks and Buses"
10206,28,100,3,4056.36,"11/29/2021 18:00","Shipped",4,12,2003,"Trucks and Buses"
10216,43,100,1,5759.42,"11/29/2021 17:00","Shipped",1,2,2004,"Trucks and Buses"
10239,25,100,13,3451,"11/29/2021 16:00","Shipped",1,3,2004,"Trucks and Buses"
10245,38,100,6,5920.4,"11/29/2021 15:00","Shipped",2,5,2004,"Trucks and Buses"
10258,41,100,3,6668.24,"11/29/2021 14:00","Shipped",2,6,2004,"Trucks and Buses"
10270,28,100,6,4094.72,"11/29/2021 13:00","Shipped",3,7,2004,"Trucks and Buses"
10281,25,100,13,2938.5,"11/29/2021 12:00","Shipped",3,8,2004,"Trucks and Buses"
10291,41,100,8,6387.8,"11/29/2021 11:00","Shipped",3,9,2004,"Trucks and Buses"
10304,39,100,3,6396,"11/29/2021 10:00 ","Shipped",4,10,2004,"Trucks and Buses"
10313,21,100,11,2669.1,"11/29/2021 09:00 ","Shipped",4,10,2004,"Trucks and Buses"
10323,27,100,9,4784.13,"11/29/2021 08:00 ","Shipped",4,11,2004,"Trucks and Buses"
10333,33,99.21,6,3273.93,"11/29/2021 07:00","Shipped",4,11,2004,"Trucks and Buses"
10347,29,100,3,3586.43,"11/29/2021 06:00 ","Shipped",4,11,2004,"Trucks and Buses"
10357,49,100,8,5960.36,"11/29/2021 05:00 ","Shipped",4,12,2004,"Trucks and Buses"
10370,49,100,8,8470.14,"11/29/2021 04:00 ","Shipped",1,1,2005,"Trucks and Buses"
10381,20,100,1,2952,"11/29/2021 03:00 ","Shipped",1,2,2005,"Trucks and Buses"
10391,39,63.2,9,2464.8,"11/29/2021 02:00 ","Shipped",1,3,2005,"Trucks and Buses"
10411,40,100,6,6232,"11/29/2021 01:00 ","Shipped",2,5,2005,"Trucks and Buses"
10424,49,100,3,7969.36,"11/29/2021 00:00 ","In Process",2,5,2005,"Trucks and Buses"
10107,21,100,1,3036.6,"11/29/2021 23:00","Shipped",1,2,2003,"Motorcycles"
10121,50,100,4,8284,"11/29/2021 22:00","Shipped",2,5,2003,"Motorcycles"
10134,20,100,1,2711.2,"11/29/2021 21:00","Shipped",3,7,2003,"Motorcycles"
10145,49,100,5,8339.8,"11/29/2021 20:00","Shipped",3,8,2003,"Motorcycles"
10159,38,100,13,6238.84,"11/29/2021 19:00","Shipped",4,10,2003,"Motorcycles"
10169,35,100,13,4639.25,"11/29/2021 18:00","Shipped",4,11,2003,"Motorcycles"
10190,40,100,8,6747.6,"11/29/2021 17:00","Shipped",4,11,2003,"Motorcycles"
10199,28,100,1,4512.48,"11/29/2021 16:00","Shipped",4,11,2003,"Motorcycles"
10201,25,100,1,4029,"11/29/2021 15:00","Shipped",4,12,2003,"Motorcycles"
10210,36,100,13,4771.8,"11/29/2021 14:00","Shipped",1,1,2004,"Motorcycles"
10234,43,100,6,6087.94,"11/29/2021 13:00","Shipped",1,2,2004,"Motorcycles"
10237,32,100,6,4203.28,"11/29/2021 12:00","Shipped",2,4,2004,"Motorcycles"
10251,46,100,1,7552.28,"11/29/2021 11:00","Shipped",2,5,2004,"Motorcycles"
10263,48,100,1,6434.4,"11/29/2021 10:00 ","Shipped",2,6,2004,"Motorcycles"
10276,43,100,14,5191.5,"11/29/2021 09:00 ","Shipped",3,8,2004,"Motorcycles"
10285,49,100,5,6863.92,"11/29/2021 08:00 ","Shipped",3,8,2004,"Motorcycles"
10299,24,100,8,4157.04,"11/29/2021 07:00","Shipped",3,9,2004,"Motorcycles"
10309,26,100,4,4660.24,"11/29/2021 06:00 ","Shipped",4,10,2004,"Motorcycles"
10320,30,100,9,4111.8,"11/29/2021 05:00 ","Shipped",4,11,2004,"Motorcycles"
10329,24,100,6,3542.64,"11/29/2021 04:00 ","Shipped",4,11,2004,"Motorcycles"
10341,55,100,8,8119.55,"11/29/2021 03:00 ","Shipped",4,11,2004,"Motorcycles"
10362,23,100,1,3877.06,"11/29/2021 02:00 ","Shipped",1,1,2005,"Motorcycles"
10375,49,78.92,13,3867.08,"11/29/2021 01:00 ","Shipped",1,2,2005,"Motorcycles"
10388,44,100,6,5951.44,"11/29/2021 00:00 ","Shipped",1,3,2005,"Motorcycles"
10403,66,100,6,8648.64,"11/29/2021 23:00","Shipped",2,4,2005,"Motorcycles"
10417,21,100,1,3447.78,"11/29/2021 22:00","Disputed",2,5,2005,"Motorcycles"
10104,34,100,1,5958.5,"11/29/2021 21:00","Shipped",1,1,2003,"Classic Cars"
10117,43,100,10,5911.64,"11/29/2021 20:00","Shipped",2,4,2003,"Classic Cars"
10127,46,100,3,7366.44,"11/29/2021 19:00","Shipped",2,6,2003,"Classic Cars"
10142,33,100,13,4985.64,"11/29/2021 18:00","Shipped",3,8,2003,"Classic Cars"
10153,42,100,12,5393.64,"11/29/2021 17:00","Shipped",3,9,2003,"Classic Cars"
10165,34,100,4,4880.02,"11/29/2021 16:00","Shipped",4,10,2003,"Classic Cars"
10176,47,100,3,8378.69,"11/29/2021 15:00","Shipped",4,11,2003,"Classic Cars"
10195,33,100,14,4038.21,"11/29/2021 14:00","Shipped",4,11,2003,"Classic Cars"
10206,24,100,6,3807.12,"11/29/2021 13:00","Shipped",4,11,2003,"Classic Cars"
10209,26,100,14,3142.36,"11/29/2021 12:00","Shipped",1,1,2004,"Classic Cars"
10230,30,100,3,4713.6,"11/29/2021 11:00","Shipped",1,2,2004,"Classic Cars"
10230,43,100,1,7016.31,"11/29/2021 10:00 ","Shipped",1,3,2004,"Classic Cars"
10247,25,100,3,4381.25,"11/29/2021 09:00 ","Shipped",2,5,2004,"Classic Cars"
10272,27,100,3,4283.01,"11/29/2021 08:00 ","Shipped",3,7,2004,"Classic Cars"
10282,27,100,6,4364.82,"11/29/2021 07:00","Shipped",3,8,2004,"Classic Cars"
10293,24,100,9,4242.24,"11/29/2021 06:00 ","Shipped",3,9,2004,"Classic Cars"
10306,34,100,14,4982.7,"11/29/2021 05:00 ","Shipped",4,10,2004,"Classic Cars"
10314,46,100,6,6393.54,"11/29/2021 04:00 ","Shipped",4,10,2004,"Classic Cars"
10324,27,54.33,1,1466.91,"11/29/2021 03:00 ","Shipped",4,11,2004,"Classic Cars"
10336,33,100,11,4059.33,"11/29/2021 02:00 ","Shipped",4,11,2004,"Classic Cars"
